epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,1196.83,0.6318,0.54175,1.03054,0.92564,0.73253,0.83249,0.64,0.69563,0.66783,1.02687,0.000330233,0.000330233,0.000330233
83,1211.36,0.64513,0.55573,1.03853,0.90081,0.7235,0.84761,0.62993,0.76071,0.74478,1.0568,0.000313729,0.000313729,0.000313729
84,1225.78,0.62156,0.52944,1.02243,0.83216,0.80797,0.84952,0.61851,0.75005,0.7524,1.06175,0.000297226,0.000297226,0.000297226
85,1240.23,0.607,0.54071,1.00778,0.94124,0.71384,0.84276,0.62198,0.6804,0.69707,1.02148,0.000280723,0.000280723,0.000280723
86,1254.61,0.60637,0.53048,1.01027,0.82211,0.77713,0.84122,0.65749,0.65533,0.67867,1.00752,0.00026422,0.00026422,0.00026422
87,1269.09,0.62025,0.53098,1.02567,0.86993,0.81716,0.86631,0.64184,0.70936,0.69356,1.05532,0.000247716,0.000247716,0.000247716
88,1283.45,0.6,0.53798,1.02153,0.9108,0.73671,0.84175,0.64244,0.7151,0.70709,1.04134,0.000231213,0.000231213,0.000231213
89,1297.89,0.59527,0.50068,1.01611,0.91551,0.6842,0.85146,0.63155,0.69078,0.82739,1.03419,0.00021471,0.00021471,0.00021471
90,1312.23,0.57623,0.49756,1.01464,0.97836,0.64372,0.84503,0.61416,0.74657,0.91373,1.07929,0.000198206,0.000198206,0.000198206
91,1376.53,0.48824,0.44001,0.90256,0.8181,0.70195,0.81363,0.60272,0.72065,0.94178,1.06684,0.000181703,0.000181703,0.000181703
92,1390.7,0.48455,0.38884,0.91106,0.83592,0.72953,0.83824,0.61981,0.72362,0.77063,1.0473,0.0001652,0.0001652,0.0001652
93,1405.12,0.46192,0.37432,0.89517,0.97611,0.6872,0.857,0.63447,0.72001,0.64062,1.05623,0.000148696,0.000148696,0.000148696
94,1419.62,0.4455,0.35101,0.89183,0.97797,0.68494,0.84775,0.64895,0.69354,0.62416,1.03682,0.000132193,0.000132193,0.000132193
95,1434.18,0.44887,0.34417,0.87998,0.9198,0.73671,0.82904,0.63301,0.69989,0.65419,1.02854,0.00011569,0.00011569,0.00011569
96,1448.7,0.44318,0.35974,0.8849,0.90815,0.741,0.83782,0.63168,0.71949,0.64076,1.04415,9.91865e-05,9.91865e-05,9.91865e-05
97,1463.29,0.43171,0.32233,0.87762,0.94348,0.70894,0.85114,0.63896,0.71528,0.67107,1.05585,8.26832e-05,8.26832e-05,8.26832e-05
98,1478.18,0.43985,0.34295,0.89506,0.90029,0.73068,0.85085,0.63366,0.72647,0.6475,1.06768,6.61799e-05,6.61799e-05,6.61799e-05
99,1492.99,0.41648,0.32018,0.87991,0.92765,0.73068,0.85024,0.65717,0.69811,0.61414,1.0452,4.96766e-05,4.96766e-05,4.96766e-05
100,1507.6,0.40898,0.31032,0.87703,0.96644,0.75464,0.85069,0.65471,0.68885,0.61816,1.03642,3.31733e-05,3.31733e-05,3.31733e-05
